Champion,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM,Patch
Trundle,Jungle,19,73.10%,23.10%,96.20%,68%,5%,34,33,161,5.9,71.70%,15.20%,21%,-179,-276,-4.2,4.6,12.80%,169,9.60%,15.70%,0.67,0.53,10.11
Aphelios,ADC,16,61.50%,26.90%,88.50%,56%,50%,66,27,58,4.6,67.40%,13.80%,25%,90,-97,-1.3,10.5,35.40%,525,31.20%,29.20%,0.38,0.49,10.11
Ezreal,ADC,15,57.70%,42.30%,100.00%,20%,13%,36,30,53,3,63.60%,14.00%,7%,-198,90,-1.6,9.9,33.30%,672,34.40%,27.80%,0.46,0.33,10.11
Nautilus,Support,12,46.20%,15.40%,61.50%,67%,67%,4,38,77,2.1,60.00%,30.20%,33%,51,-147,3.6,1.4,3.50%,139,8.20%,9.00%,1.47,0.32,10.11
Wukong,Top,11,42.30%,46.20%,88.50%,55%,36%,40,32,54,2.9,61.40%,25.40%,0%,-78,-105,-3.4,7.7,25.10%,394,21.20%,23.60%,0.4,0.2,10.11
Azir,Middle,10,38.50%,23.10%,61.50%,50%,60%,37,29,40,2.7,65.30%,20.30%,0%,-122,121,8.3,9.1,27.50%,569,29.50%,26.00%,0.46,0.31,10.11
Twisted Fate,Middle,9,34.60%,57.70%,92.30%,56%,11%,16,13,61,5.9,72.60%,15.10%,56%,398,-150,-10.1,9.3,27.60%,332,19.90%,26.00%,0.44,0.25,10.11
Yuumi,Support,9,34.60%,50.00%,84.60%,33%,22%,12,12,73,7.1,79.40%,11.30%,22%,-96,112,-2.9,0.7,1.40%,262,14.20%,8.80%,1.41,0.11,10.11
Aatrox,Top,8,30.80%,11.50%,42.30%,63%,50%,20,18,38,3.2,62.40%,20.70%,13%,116,170,1.3,8.2,26.20%,382,21.20%,23.30%,0.43,0.24,10.11
Graves,Jungle,8,30.80%,7.70%,38.50%,0%,63%,13,21,30,2,78.20%,18.60%,63%,91,96,3,6.3,18.90%,302,17.20%,19.60%,0.51,0.57,10.11
Ornn,Top,8,30.80%,15.40%,46.20%,38%,25%,7,29,40,1.6,58.00%,27.90%,13%,-163,-156,-4.1,7.4,21.80%,337,20.40%,19.20%,0.46,0.16,10.11
Karma,Middle,7,26.90%,57.70%,100.00%,57%,14%,12,8,51,7.9,77.80%,11.60%,14%,182,4,6.3,8,21.80%,393,20.40%,21.70%,0.63,0.24,10.11
Lee Sin,Jungle,6,23.10%,7.70%,30.80%,33%,83%,16,18,26,2.3,68.90%,23.10%,0%,53,-20,-1.2,4.9,12.90%,204,10.40%,16.30%,0.61,0.28,10.11
Ashe,ADC,5,19.20%,3.80%,23.10%,60%,40%,14,11,37,4.6,75.00%,16.20%,40%,493,337,23.4,9.8,33.20%,533,25.60%,26.60%,0.45,0.49,10.11
Galio,Middle,5,19.20%,11.50%,30.80%,60%,60%,14,13,38,4,74.30%,21.70%,20%,-327,-105,-8.4,7.6,22.50%,366,16.80%,21.20%,0.5,0.19,10.11
Jayce,Top,5,19.20%,19.20%,38.50%,60%,40%,15,14,32,3.4,72.30%,23.70%,0%,357,18,13.4,8.6,28.90%,671,31.20%,24.90%,0.49,0.25,10.11
Thresh,Support,5,19.20%,11.50%,30.80%,20%,40%,1,18,30,1.7,70.50%,20.00%,40%,-270,-69,-11.8,1.1,2.50%,79,5.00%,8.40%,1.52,0.27,10.11
Zoe,Middle,5,19.20%,26.90%,46.20%,100%,20%,19,6,44,10.5,66.30%,13.60%,20%,64,142,5.4,7.3,21.70%,592,26.50%,21.30%,0.44,0.18,10.11
Bard,Support,4,15.40%,7.70%,23.10%,25%,25%,1,7,23,3.4,77.40%,14.90%,0%,-14,178,1,1.4,3.90%,123,7.70%,8.30%,2.65,0.56,10.11
Jarvan IV,Jungle,4,15.40%,15.40%,30.80%,0%,75%,6,21,23,1.4,80.60%,25.90%,25%,-108,255,3,4.5,11.90%,183,9.30%,15.70%,0.51,0.46,10.11
Karma,Support,4,15.40%,57.70%,100.00%,25%,0%,7,9,36,4.8,84.30%,13.80%,25%,-39,-229,-6.5,1.1,2.90%,214,9.70%,9.80%,1.64,0.26,10.11
Lulu,Support,4,15.40%,7.70%,23.10%,75%,75%,3,5,37,8,66.70%,10.40%,25%,169,214,1,0.9,2.10%,64,3.40%,9.40%,1.6,0.32,10.11
Mordekaiser,Top,4,15.40%,11.50%,26.90%,50%,75%,12,17,12,1.4,49.00%,28.30%,0%,-889,-252,-1.3,7.7,23.40%,424,26.20%,21.40%,0.47,0.15,10.11
Nidalee,Jungle,4,15.40%,11.50%,26.90%,75%,100%,7,7,28,5,68.60%,23.30%,75%,542,833,12.8,6.6,16.00%,353,20.20%,17.90%,1.24,0.87,10.11
Camille,Top,3,11.50%,7.70%,19.20%,100%,33%,18,6,14,5.3,59.30%,22.20%,33%,253,-27,-8.7,8.9,26.10%,573,25.30%,24.90%,0.34,0.17,10.11
Kalista,ADC,3,11.50%,69.20%,80.80%,100%,67%,19,1,17,36,73.50%,4.80%,67%,770,5,26.7,11.2,35.40%,609,26.20%,28.90%,0.75,0.48,10.11
Malphite,Top,3,11.50%,0.00%,11.50%,67%,100%,8,9,15,2.6,60.50%,26.50%,0%,459,633,14.7,7.4,21.50%,403,23.30%,19.90%,0.37,0.1,10.11
Olaf,Jungle,3,11.50%,3.80%,15.40%,100%,100%,12,4,22,8.5,70.80%,28.60%,0%,686,679,13.3,5.8,13.40%,269,14.10%,17.60%,0.34,0.51,10.11
Pantheon,Support,3,11.50%,7.70%,19.20%,100%,67%,15,6,21,6,53.70%,20.70%,0%,112,-113,6.7,2.4,8.90%,338,12.70%,13.30%,1.96,0.72,10.11
Senna,ADC,3,11.50%,11.50%,26.90%,33%,100%,4,4,20,6,85.70%,9.80%,33%,-1335,-742,-78.7,1.7,6.70%,374,21.20%,13.40%,1.02,0.54,10.11
Syndra,Middle,3,11.50%,50.00%,69.20%,0%,67%,5,10,5,1,55.60%,23.30%,0%,-422,-519,-6.3,8.2,23.90%,412,24.40%,23.60%,0.47,0.13,10.11
Corki,Middle,2,7.70%,15.40%,23.10%,50%,100%,10,4,12,5.5,91.70%,17.40%,0%,-360,-136,-11,8.6,27.10%,619,30.50%,26.80%,0.45,0.19,10.11
Elise,Jungle,2,7.70%,0.00%,7.70%,0%,100%,3,8,11,1.8,58.30%,15.70%,50%,8,-9,-6.5,4.1,13.90%,316,20.40%,15.80%,0.8,0.49,10.11
Kassadin,Middle,2,7.70%,0.00%,7.70%,50%,100%,12,5,9,4.2,60.00%,20.00%,50%,-343,-171,-19.5,7.8,24.70%,571,29.70%,24.30%,0.44,0.23,10.11
Kayle,Top,2,7.70%,3.80%,11.50%,0%,100%,3,2,1,2,50.00%,8.30%,50%,124,69,2,9.7,28.80%,572,42.00%,28.30%,0.53,0.23,10.11
Leona,Support,2,7.70%,0.00%,7.70%,0%,100%,3,11,6,0.8,42.90%,26.80%,50%,223,144,4,1.1,2.70%,88,4.30%,8.50%,1.54,0.33,10.11
Lucian,ADC,2,7.70%,3.80%,15.40%,50%,100%,7,5,13,4,62.50%,17.90%,50%,434,-162,8.5,10.8,37.50%,479,24.90%,29.40%,0.4,0.62,10.11
Orianna,Middle,2,7.70%,0.00%,7.70%,0%,100%,2,7,2,0.6,57.10%,28.00%,0%,-410,57,9.5,9.5,24.70%,255,23.40%,25.80%,0.48,0.3,10.11
Rek'Sai,Jungle,2,7.70%,0.00%,7.70%,50%,50%,4,10,9,1.3,59.10%,45.50%,0%,-368,-741,-14.5,5.1,14.80%,219,11.00%,15.90%,0.42,0.53,10.11
Sett,Jungle,2,7.70%,84.60%,96.20%,100%,0%,1,5,20,4.2,67.70%,33.30%,50%,-113,133,-1,5.1,12.30%,252,10.60%,13.90%,0.4,0.58,10.11
Syndra,ADC,2,7.70%,50.00%,69.20%,50%,50%,2,7,8,1.4,35.70%,36.80%,0%,526,639,48,8.4,23.00%,464,26.60%,18.60%,0.49,0.04,10.11
Tahm Kench,Support,2,7.70%,3.80%,11.50%,0%,100%,0,9,5,0.6,31.30%,32.10%,0%,30,84,2,1.1,1.70%,103,6.10%,6.50%,1.73,0.26,10.11
Blitzcrank,Support,1,3.80%,0.00%,3.80%,100%,100%,0,2,5,2.5,31.30%,50.00%,0%,-78,-572,-6,0.7,1.20%,92,5.60%,6.20%,2.02,0.18,10.11
