"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Caitlyn","ADC",25,"64.1%","23.1%","87.2%","44%","12%",99,56,95,3.5,"64.5%","15.4%","16%",2,-47,0.3,9.8,"32.3%",578,"28.7%","27.3%",0.42,0.48
"Ashe","ADC",23,"59.0%","28.2%","87.2%","43%","52%",67,67,122,2.8,"60.2%","18.3%","17%",10,-30,0.8,9.4,"30.3%",500,"25.9%","25.3%",0.41,0.38
"Zoe","Middle",15,"38.5%","41.0%","79.5%","47%","27%",47,29,71,4.1,"59.3%","15.8%","7%",31,155,-1.7,8.4,"24.5%",477,"24.2%","22.6%",0.4,0.16
"Azir","Middle",14,"35.9%","35.9%","71.8%","50%","29%",45,38,57,2.7,"62.6%","18.2%","36%",154,42,3.6,9.6,"28.1%",532,"28.0%","26.1%",0.41,0.26
"Bard","Support",13,"33.3%","35.9%","69.2%","62%","15%",8,37,142,4.1,"75.0%","23.6%","23%",-51,205,4.5,1.4,"3.8%",172,"8.3%","9.3%",2.42,0.56
"Nidalee","Jungle",13,"33.3%","23.1%","56.4%","69%","46%",48,25,92,5.6,"70.7%","16.9%","62%",276,321,4,6.5,"19.0%",413,"19.6%","20.1%",1.05,0.65
"Volibear","Jungle",12,"30.8%","66.7%","100.0%","58%","0%",36,27,82,4.4,"62.4%","19.6%","50%",88,35,-0.7,5.3,"14.4%",250,"12.3%","16.8%",0.45,0.54
"Ezreal","ADC",11,"28.2%","17.9%","46.2%","73%","82%",42,17,51,5.5,"54.1%","16.7%","27%",-113,-54,-3.5,9.7,"29.1%",619,"28.7%","24.1%",0.44,0.24
"Jayce","Top",11,"28.2%","43.6%","74.4%","55%","27%",37,34,56,2.7,"57.8%","20.7%","0%",160,48,7.5,8.8,"27.4%",620,"30.7%","25.5%",0.46,0.3
"Lux","Support",10,"25.6%","5.1%","33.3%","50%","60%",11,19,73,4.4,"77.1%","13.6%","10%",-160,-90,1,1,"3.4%",179,"10.1%","9.6%",1.56,0.32
"Renekton","Top",10,"25.6%","23.1%","48.7%","80%","40%",48,15,49,6.5,"61.0%","19.2%","50%",945,641,17.5,9.5,"27.5%",489,"21.9%","26.4%",0.36,0.27
"Sylas","Middle",10,"25.6%","12.8%","43.6%","60%","80%",39,27,49,3.3,"51.5%","19.4%","20%",-121,12,0.3,8.7,"24.9%",498,"22.6%","23.3%",0.44,0.23
"Karma","Support",9,"23.1%","53.8%","92.3%","56%","22%",6,23,59,2.8,"58.0%","23.0%","33%",197,-73,-6.1,0.7,"1.9%",186,"8.6%","8.3%",1.43,0.36
"Nautilus","Support",9,"23.1%","10.3%","33.3%","56%","44%",6,30,61,2.2,"48.6%","26.8%","22%",1,26,-0.1,1,"2.3%",114,"5.9%","7.7%",1.67,0.29
"Olaf","Jungle",9,"23.1%","28.2%","51.3%","44%","56%",26,33,44,2.1,"68.0%","26.4%","33%",62,82,1.8,5.3,"13.5%",272,"14.9%","17.5%",0.66,0.54
"Jhin","ADC",8,"20.5%","2.6%","23.1%","50%","100%",31,13,47,6,"68.4%","12.5%","13%",146,161,4.3,10.4,"34.1%",551,"26.0%","27.7%",0.46,0.38
"Sett","Jungle",8,"20.5%","66.7%","100.0%","63%","63%",21,28,64,3,"59.9%","21.4%","25%",-219,-260,-2.3,5,"13.8%",254,"12.0%","15.8%",0.42,0.57
"Graves","Jungle",7,"17.9%","0.0%","17.9%","43%","43%",17,27,29,1.7,"63.9%","26.0%","14%",-46,201,8.1,6.5,"17.8%",323,"18.1%","18.5%",0.53,0.53
"Syndra","Middle",7,"17.9%","2.6%","20.5%","43%","57%",17,21,40,2.7,"62.6%","18.6%","29%",-73,-139,4,8.8,"26.8%",461,"23.7%","23.9%",0.49,0.22
"Akali","Top",6,"15.4%","12.8%","35.9%","83%","67%",27,12,33,5,"56.6%","16.4%","0%",-395,-25,-3,8.5,"24.4%",451,"20.1%","22.7%",0.33,0.21
"Gnar","Top",6,"15.4%","7.7%","23.1%","33%","50%",13,22,35,2.2,"64.9%","23.2%","17%",-546,-30,-7.8,8,"24.9%",516,"26.3%","23.0%",0.44,0.25
"Kennen","Top",6,"15.4%","12.8%","28.2%","50%","33%",22,25,27,2,"53.3%","30.5%","17%",-325,-11,-10,7.3,"21.7%",406,"22.5%","20.7%",0.39,0.24
"Lee Sin","Jungle",6,"15.4%","5.1%","20.5%","17%","50%",16,19,25,2.2,"62.1%","19.2%","67%",-220,-318,-12.3,5,"13.3%",233,"14.0%","17.3%",0.6,0.32
"Lucian","Top",6,"15.4%","33.3%","53.8%","50%","33%",25,23,32,2.5,"69.5%","26.4%","0%",-15,-359,0.3,8.3,"24.6%",559,"29.1%","22.9%",0.46,0.24
"Twisted Fate","Middle",6,"15.4%","61.5%","76.9%","100%","17%",13,5,68,16.2,"76.4%","11.9%","17%",338,-151,-2.5,8.7,"22.3%",425,"19.8%","23.2%",0.27,0.2
"Gangplank","Top",5,"12.8%","5.1%","17.9%","20%","80%",17,20,24,2.1,"73.2%","25.3%","20%",-634,-498,-13.8,8.5,"28.2%",656,"33.7%","27.7%",0.47,0.12
"Lillia","Jungle",5,"12.8%","5.1%","17.9%","100%","60%",15,14,55,5,"75.3%","26.4%","40%",388,407,11,6.6,"17.1%",521,"22.5%","18.6%",0.75,0.36
"Morgana","Support",5,"12.8%","15.4%","28.2%","40%","40%",4,13,33,2.8,"57.8%","19.1%","20%",166,-53,-4.4,0.9,"2.5%",204,"10.8%","8.3%",1.7,0.34
"Senna","ADC",5,"12.8%","25.6%","38.5%","80%","80%",21,7,52,10.4,"85.9%","16.3%","20%",-212,53,-12.2,7.3,"20.5%",419,"21.7%","21.1%",0.5,0.3
"Trundle","Jungle",5,"12.8%","10.3%","23.1%","40%","100%",6,14,31,2.6,"67.3%","21.5%","60%",-581,-611,-9,4.3,"11.0%",161,"8.4%","14.9%",0.4,0.61
