"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",8,"100%","25%",28,11,72,9.1,"70.9%","19.9%","19.3%","63%",361,178,5.4,8.8,"24.4%",562,"26.5%","23.5%",0.5,0.18
"Ben","Afreeca Freecs","Support",8,"25%","38%",3,28,36,1.4,"69.6%","5.4%","21.7%","13%",-245,45,-8.1,0.9,"2.4%",126,"7.7%","7.6%",1.32,0.2
"BeryL","DAMWON Gaming","Support",9,"78%","56%",24,27,77,3.7,"62.0%","14.7%","34.2%","0%",290,62,15.9,2.5,"8.0%",262,"11.3%","12.2%",1.37,0.44
"Canna","T1","Top",9,"56%","44%",31,27,48,2.9,"71.8%","28.2%","29.7%","11%",24,19,2.4,8.4,"24.7%",507,"24.3%","23.4%",0.41,0.28
"Canyon","DAMWON Gaming","Jungle",9,"78%","67%",29,15,68,6.5,"59.5%","17.8%","19.0%","44%",294,429,4.2,6,"16.8%",349,"15.3%","17.7%",0.54,0.38
"Chovy","DRX","Middle",10,"70%","60%",39,18,53,5.1,"67.2%","28.5%","15.4%","40%",135,68,6,9.9,"28.5%",550,"27.4%","26.3%",0.4,0.43
"Clid","Gen.G","Jungle",8,"100%","50%",25,8,70,11.9,"67.4%","17.7%","14.0%","13%",12,-22,-3.1,6,"18.2%",276,"13.0%","18.5%",0.62,0.52
"Cuzz","T1","Jungle",8,"63%","63%",11,17,47,3.4,"59.2%","11.2%","22.1%","38%",82,173,3.4,5.7,"14.2%",254,"13.4%","16.3%",0.6,0.43
"Deft","DRX","ADC",10,"70%","70%",33,21,62,4.5,"69.3%","24.1%","17.9%","30%",401,147,11,9.4,"28.9%",490,"24.2%","24.1%",0.52,0.33
"Doran","DRX","Top",10,"70%","40%",29,32,45,2.3,"54.0%","21.2%","27.4%","10%",233,571,15.2,8.3,"24.6%",423,"21.0%","22.9%",0.42,0.17
"Effort","T1","Support",9,"56%","44%",6,16,61,4.2,"60.9%","5.5%","17.6%","33%",78,-159,0.1,1.1,"2.5%",96,"4.8%","8.3%",1.79,0.51
"Ellim","T1","Jungle",1,"0%","0%",0,4,5,1.3,"41.7%","0.0%","28.6%","100%",-144,-107,-4,4.2,"10.5%",144,"7.4%","12.2%",0.46,0.4
"Faker","T1","Middle",9,"56%","78%",26,16,47,4.6,"66.4%","23.6%","17.6%","22%",-114,-141,-2.1,8.5,"22.9%",534,"26.3%","22.7%",0.55,0.26
"Fly","Afreeca Freecs","Middle",8,"25%","50%",14,24,25,1.6,"69.6%","25.0%","18.6%","13%",-227,-205,-4.1,8,"21.3%",385,"23.1%","22.4%",0.43,0.14
"Ghost","DAMWON Gaming","ADC",9,"78%","67%",29,16,72,6.3,"62.0%","17.8%","20.3%","0%",-312,83,-13.7,8,"23.3%",494,"22.2%","20.5%",0.68,0.25
"Keria","DRX","Support",10,"70%","70%",7,24,101,4.5,"78.8%","5.1%","20.5%","40%",-218,-483,-18.3,1.2,"2.8%",229,"10.9%","8.8%",1.63,0.28
"Kiin","Afreeca Freecs","Top",8,"25%","63%",9,24,24,1.4,"58.9%","16.1%","18.6%","13%",-279,-117,3.8,8.9,"29.4%",433,"25.8%","25.2%",0.43,0.13
"Life","Gen.G","Support",8,"100%","75%",5,15,77,5.5,"58.2%","3.5%","26.3%","38%",-37,-204,-1.3,1,"2.3%",111,"5.5%","8.3%",1.5,0.32
"Mystic","Afreeca Freecs","ADC",8,"25%","13%",22,23,20,1.8,"75.0%","39.3%","17.8%","13%",14,-83,8,9.8,"33.9%",513,"30.4%","29.0%",0.39,0.46
"Nuguri","DAMWON Gaming","Top",9,"78%","33%",44,13,54,7.5,"60.1%","27.0%","16.5%","33%",366,140,2.2,9.1,"28.0%",581,"26.0%","26.0%",0.36,0.2
"Pyosik","DRX","Jungle",10,"70%","30%",29,22,69,4.5,"71.5%","21.2%","18.8%","40%",208,80,3.9,5.9,"15.2%",342,"16.6%","17.9%",0.4,0.41
"Rascal","Gen.G","Top",8,"100%","25%",19,13,74,7.2,"66.0%","13.5%","22.8%","25%",211,218,2.9,7.8,"20.9%",401,"19.5%","20.0%",0.39,0.25
"Ruler","Gen.G","ADC",8,"100%","75%",64,10,45,10.9,"77.3%","45.4%","17.5%","25%",233,165,6.3,10.3,"34.2%",737,"35.5%","29.7%",0.44,0.58
"ShowMaker","DAMWON Gaming","Middle",9,"78%","33%",37,8,84,15.1,"74.2%","22.7%","10.1%","33%",293,160,3.4,8.9,"23.8%",589,"25.3%","23.5%",0.37,0.18
"Spirit","Afreeca Freecs","Jungle",8,"25%","38%",8,30,23,1,"55.4%","14.3%","23.3%","13%",-418,-462,-5.4,5.2,"13.0%",204,"12.9%","15.8%",0.58,0.49
"Teddy","T1","ADC",9,"56%","67%",36,11,35,6.5,"64.5%","32.7%","12.1%","22%",213,119,4,11.2,"36.2%",636,"31.9%","29.7%",0.52,0.43
