"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",13,"69%","62%",51,23,73,5.4,"59.9%","24.6%","18.9%","23%",-143,-85,0.4,8.8,"23.2%",515,"25.1%","23.5%",0.39,0.21
"Ben","Afreeca Freecs","Support",11,"55%","45%",4,34,91,2.8,"60.1%","2.5%","20.7%","27%",-58,-20,-4.9,0.8,"2.3%",149,"7.5%","7.7%",1.62,0.38
"BeryL","DAMWON Gaming","Support",11,"91%","64%",7,16,75,5.1,"51.9%","4.4%","22.2%","9%",-71,-98,1.7,1.5,"3.9%",141,"7.3%","9.0%",1.58,0.57
"Canna","T1","Top",11,"73%","64%",42,16,68,6.9,"63.6%","24.3%","16.0%","36%",381,125,5.5,9.3,"28.1%",512,"26.6%","25.3%",0.35,0.22
"Canyon","DAMWON Gaming","Jungle",11,"91%","45%",32,23,84,5,"73.4%","20.3%","31.9%","64%",500,501,7.2,6.5,"17.4%",367,"20.2%","19.3%",0.61,0.35
"Chovy","DRX","Middle",10,"70%","50%",31,24,57,3.7,"54.7%","19.3%","20.2%","20%",188,199,10,10.2,"28.7%",547,"24.6%","25.4%",0.38,0.38
"Clid","Gen.G","Jungle",13,"69%","46%",40,27,80,4.4,"58.0%","19.3%","22.1%","31%",110,366,3.5,5.9,"16.5%",320,"15.3%","17.7%",0.75,0.57
"Clozer","T1","Middle",10,"80%","30%",42,17,56,5.8,"58.3%","25.0%","20.5%","20%",95,238,0.5,9,"24.4%",468,"24.6%","22.8%",0.41,0.13
"Cuzz","T1","Jungle",11,"73%","27%",30,21,78,5.1,"62.4%","17.3%","21.0%","55%",329,214,6.3,5.9,"15.0%",269,"14.1%","17.5%",0.52,0.55
"Deft","DRX","ADC",10,"70%","40%",44,24,66,4.6,"68.3%","27.3%","20.2%","30%",-54,82,4.8,9,"26.1%",562,"25.1%","24.0%",0.53,0.33
"Doran","DRX","Top",10,"70%","70%",40,23,50,3.9,"55.9%","24.8%","19.3%","10%",-183,24,4.1,9.1,"24.7%",504,"22.7%","23.3%",0.42,0.21
"Dread","Afreeca Freecs","Jungle",2,"0%","100%",7,6,5,2,"80.0%","46.7%","12.5%","50%",-355,-571,-7.5,6.4,"21.1%",412,"20.0%","23.8%",0.3,0.58
"Effort","T1","Support",11,"73%","45%",13,28,90,3.7,"59.5%","7.5%","28.0%","45%",167,162,-0.8,1.3,"3.5%",121,"6.3%","9.0%",1.84,0.59
"Faker","T1","Middle",1,"0%","100%",0,4,4,1,"80.0%","0.0%","23.5%","0%",-828,-151,-17,8.5,"24.0%",357,"21.6%","21.5%",0.5,0.1
"Fly","Afreeca Freecs","Middle",13,"46%","69%",30,37,85,3.1,"66.1%","17.2%","17.4%","23%",20,-195,-1.8,8.1,"23.3%",449,"23.0%","22.1%",0.4,0.26
"Ghost","DAMWON Gaming","ADC",11,"91%","73%",27,8,72,12.4,"62.7%","17.1%","11.1%","9%",-193,-26,-8.7,9.1,"26.5%",416,"21.7%","21.7%",0.44,0.22
"Jelly","Afreeca Freecs","Support",2,"0%","50%",1,12,6,0.6,"43.8%","6.3%","24.5%","0%",-368,-159,2,1.1,"2.4%",172,"9.4%","7.6%",1.28,0.28
"Keria","DRX","Support",10,"70%","30%",13,21,101,5.4,"70.8%","8.1%","17.6%","30%",-7,-139,-0.8,1.3,"3.5%",193,"8.7%","9.1%",1.84,0.47
"Kiin","Afreeca Freecs","Top",13,"46%","54%",40,45,53,2.1,"53.4%","23.0%","21.1%","15%",81,122,5.4,8.2,"25.1%",438,"22.3%","23.3%",0.34,0.24
"Life","Gen.G","Support",13,"69%","54%",15,26,104,4.6,"57.5%","7.2%","21.3%","15%",74,-188,-3.7,0.9,"2.2%",161,"7.9%","8.8%",1.47,0.35
"Mystic","Afreeca Freecs","ADC",13,"46%","31%",60,49,61,2.5,"69.5%","34.5%","23.0%","23%",-56,-235,1.5,9.9,"33.0%",624,"30.4%","28.3%",0.35,0.47
"Nuguri","DAMWON Gaming","Top",11,"91%","45%",60,17,46,6.2,"67.1%","38.0%","23.6%","36%",485,485,10.6,9.3,"27.2%",517,"27.0%","26.7%",0.38,0.25
"Pyosik","DRX","Jungle",10,"70%","60%",33,27,80,4.2,"70.2%","20.5%","22.7%","40%",23,14,1.5,6.4,"17.0%",433,"19.0%","18.1%",0.57,0.43
"Rascal","Gen.G","Top",13,"69%","38%",47,28,56,3.7,"49.8%","22.7%","23.0%","46%",303,151,3,8.7,"25.5%",425,"19.5%","23.2%",0.38,0.24
"Ruler","Gen.G","ADC",13,"69%","62%",54,18,69,6.8,"59.4%","26.1%","14.8%","15%",96,107,5,10.4,"32.6%",666,"32.2%","26.8%",0.49,0.42
"ShowMaker","DAMWON Gaming","Middle",11,"91%","36%",32,8,83,14.4,"72.8%","20.3%","11.1%","36%",272,-23,-1.1,9.1,"25.0%",458,"23.9%","23.3%",0.3,0.25
"Spirit","Afreeca Freecs","Jungle",11,"55%","64%",32,30,88,4,"75.5%","20.1%","18.2%","45%",-115,-139,-4.2,5.4,"15.3%",303,"15.9%","17.7%",0.46,0.63
"Teddy","T1","ADC",11,"73%","73%",46,14,81,9.1,"73.4%","26.6%","14.0%","36%",167,50,-3.4,9.6,"29.1%",542,"28.6%","25.5%",0.49,0.27
