"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",14,9,5,34,180,133,1.35,0.66,-0.09,"0.1%",42,22.3,-606,"57%","43%","57%","46%","29%","54%","75%","36%","44%","50.2%","47.7%",3.5,1.39,1.83
"DAMWON Gaming",13,11,2,29.2,206,115,1.79,0.85,1.9,"12.8%",71.8,12.9,2578,"38%","92%","100%","79%","23%","52%","50%","62%","80%","50.2%","59.2%",3.73,1.31,1.61
"DRX",15,12,3,31.7,203,128,1.59,0.69,1.49,"7.3%",64.2,15.8,1739,"40%","40%","73%","40%","60%","60%","0%","67%","82%","51.1%","57.3%",3.53,1.16,1.75
"Gen.G",15,9,6,31.6,192,157,1.22,0.74,0.59,"3.9%",60.9,-0.9,751,"67%","73%","67%","70%","53%","68%","75%","60%","56%","51.0%","51.6%",4.01,1.63,1.7
"Hanwha Life Esports",14,2,12,32.5,121,215,0.56,0.74,-1.64,"-11.7%",35.4,-21.1,-1477,"36%","21%","0%","30%","50%","39%","0%","14%","17%","49.8%","42.0%",3.77,1.71,1.48
"KT Rolster",13,5,8,31.7,127,165,0.77,0.71,-0.24,"-2.3%",50.3,-11.9,104,"69%","46%","38%","46%","62%","40%","0%","31%","44%","49.9%","46.4%",3.54,1.43,1.68
"SANDBOX Gaming",14,3,11,31.1,108,205,0.53,0.72,-1.62,"-8.8%",32.8,-11.4,-1871,"29%","57%","29%","48%","50%","43%","0%","14%","15%","49.6%","44.0%",3.61,1.71,1.99
"SeolHaeOne Prince",14,3,11,29.7,118,225,0.52,0.83,-1.59,"-10.6%",26.9,-5.5,-2204,"57%","21%","21%","43%","36%","34%","100%","29%","39%","48.6%","46.0%",3.21,1.36,1.42
"T1",15,9,6,33.5,202,126,1.6,0.65,0.75,"7.6%",59.8,0.2,685,"67%","40%","47%","41%","73%","52%","75%","53%","65%","50.1%","54.2%",4.2,1.5,1.93
"Team Dynamics",15,8,7,33,169,161,1.05,0.67,0.35,"1.1%",54.7,-1.4,248,"40%","67%","67%","59%","60%","56%","40%","53%","65%","49.4%","51.0%",3.46,1.39,1.64
