"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",22,11,11,32.4,236,262,0.9,0.7,-0.65,"-4.5%",35.8,14.2,-1343,"45%","32%","41%","43%","27%","47%","75%","32%","42%","49.9%","45.8%",3.37,1.34,1.68
"DAMWON Gaming",22,18,4,29.1,369,194,1.9,0.88,2.16,"13.5%",75.5,6.3,2863,"45%","95%","100%","80%","36%","58%","67%","64%","80%","50.3%","59.8%",3.56,1.28,1.55
"DRX",25,19,6,31.7,340,245,1.39,0.73,1.22,"7.8%",61.2,14.8,1440,"44%","40%","68%","42%","48%","57%","0%","68%","76%","51.4%","56.3%",3.46,1.23,1.69
"Gen.G",23,17,6,31.4,333,214,1.56,0.76,1.01,"6.7%",67,6.9,1213,"70%","78%","78%","73%","57%","70%","75%","65%","65%","51.0%","52.0%",3.81,1.59,1.75
"Hanwha Life Esports",23,4,19,32.8,201,329,0.61,0.7,-1.41,"-10.6%",37.2,-19.8,-1304,"39%","26%","4%","30%","61%","42%","0%","22%","24%","49.4%","43.8%",3.93,1.75,1.52
"KT Rolster",22,9,13,33.4,228,258,0.88,0.66,-0.14,"-1.6%",52,-11.1,68,"68%","45%","45%","50%","68%","46%","33%","36%","48%","49.5%","46.7%",3.48,1.46,1.77
"SANDBOX Gaming",23,9,14,32.9,230,285,0.81,0.68,-0.6,"-3.9%",41.4,-2.2,-877,"35%","61%","43%","55%","43%","44%","0%","30%","39%","50.1%","46.3%",3.67,1.75,2.04
"SeolHaeOne Prince",24,5,19,31.3,186,381,0.49,0.75,-1.45,"-9.2%",28.7,-7.9,-1929,"54%","25%","25%","36%","33%","36%","100%","25%","30%","48.8%","47.1%",3.44,1.37,1.57
"T1",24,14,10,34,312,217,1.44,0.64,0.51,"4.7%",56.1,2.2,509,"58%","46%","42%","36%","63%","51%","67%","46%","50%","50.3%","53.9%",4.07,1.5,1.92
"Team Dynamics",24,10,14,32.7,243,300,0.81,0.69,-0.4,"-2.8%",45.5,-3.9,-608,"42%","54%","54%","57%","63%","51%","43%","42%","54%","49.2%","47.9%",3.54,1.4,1.68
