"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",19,10,9,33.7,258,253,1.02,0.8,0.07,"0.6%",49.3,3.4,289,"68%","58%","53%","47%","32%","44%","100%","42%","52%","50.3%","49.5%",3.3,1.34,1.83
"DAMWON Gaming",17,16,1,26.5,280,101,2.77,0.84,2.53,"16.8%",79.5,14.6,3304,"71%","82%","88%","73%","41%","64%","0%","71%","100%","50.7%","58.8%",3.34,1.21,1.62
"DRX",20,13,7,33.4,277,246,1.13,0.78,0.65,"3.3%",52,13,593,"50%","55%","60%","51%","25%","46%","75%","50%","61%","51.2%","53.4%",3.7,1.33,1.8
"Gen.G",20,14,6,31.5,319,194,1.64,0.82,1.11,"6.9%",65.4,4.6,1300,"50%","70%","70%","70%","70%","68%","100%","50%","62%","51.2%","53.3%",3.57,1.46,1.79
"Hanwha Life Esports",19,4,15,29.4,191,317,0.6,0.91,-0.97,"-6.9%",41.9,-20.8,-872,"47%","42%","32%","41%","47%","42%","0%","16%","28%","49.0%","44.8%",3.68,1.67,1.53
"KT Rolster",21,9,12,32.6,250,273,0.92,0.76,-0.28,"-1.5%",48,-5.1,-579,"29%","52%","48%","48%","71%","47%","0%","43%","41%","49.5%","49.0%",4.03,1.51,1.81
"SANDBOX Gaming",19,8,11,31.6,201,257,0.78,0.76,-1.06,"-4.7%",37.3,4.8,-1101,"53%","32%","32%","45%","53%","48%","67%","37%","35%","49.8%","47.0%",3.41,1.48,1.67
"SeolHaeOne Prince",17,1,16,30.7,162,353,0.46,0.99,-1.97,"-16.2%",28.8,-22.9,-2495,"47%","24%","18%","24%","41%","34%","0%","18%","21%","47.9%","44.3%",3.53,1.35,1.64
"T1",18,14,4,31.2,273,145,1.88,0.74,1.32,"10.6%",65.3,12.5,1459,"67%","61%","78%","63%","72%","61%","0%","61%","80%","50.8%","56.0%",3.62,1.32,1.78
"Team Dynamics",20,6,14,32.5,235,317,0.74,0.85,-1.02,"-8.1%",34.4,-4.4,-1685,"25%","25%","25%","38%","45%","47%","50%","30%","41%","49.4%","44.7%",3.42,1.25,1.72
