"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ezreal","ADC",44,"48.9%","28.9%","77.8%","52%","41%",168,77,217,5,"67.8%","15.2%","23%",-197,-62,-2.9,9.2,"30.2%",643,"32.9%","26.5%",0.39,0.28
"Aphelios","ADC",37,"41.1%","18.9%","60.0%","51%","46%",139,68,151,4.3,"72.5%","16.7%","16%",36,13,0.1,9.9,"34.4%",541,"32.5%","29.3%",0.38,0.34
"Orianna","Middle",35,"38.9%","38.9%","77.8%","57%","23%",125,73,212,4.6,"74.7%","18.4%","17%",-72,22,0.9,9.5,"29.3%",478,"25.7%","26.5%",0.43,0.19
"Sett","Jungle",35,"38.9%","15.6%","63.3%","40%","46%",49,98,221,2.8,"66.3%","20.9%","40%",-119,-127,-2.8,4.9,"13.6%",218,"11.8%","15.2%",0.37,0.43
"Azir","Middle",32,"35.6%","46.7%","82.2%","59%","38%",112,75,119,3.1,"58.5%","21.4%","13%",32,68,4.3,9.7,"30.1%",518,"28.6%","26.6%",0.42,0.25
"Lee Sin","Jungle",31,"34.4%","21.1%","55.6%","55%","61%",78,86,169,2.9,"66.9%","22.7%","42%",-60,-50,-0.1,5.3,"15.1%",219,"12.1%","16.9%",0.61,0.26
"Nautilus","Support",31,"34.4%","12.2%","47.8%","48%","42%",22,104,214,2.3,"58.9%","27.4%","23%",15,-46,-3.9,1,"2.4%",140,"7.4%","8.2%",1.63,0.33
"Thresh","Support",26,"28.9%","63.3%","92.2%","58%","19%",17,59,184,3.4,"68.8%","23.4%","31%",28,-95,0,1,"2.1%",104,"6.2%","8.6%",1.63,0.29
"Ornn","Top",24,"26.7%","27.8%","55.6%","46%","38%",36,63,131,2.7,"67.9%","20.9%","42%",-75,-50,-3.3,6.8,"19.7%",317,"18.8%","19.4%",0.49,0.13
"Tahm Kench","Support",24,"26.7%","6.7%","33.3%","50%","71%",8,56,153,2.9,"58.1%","20.3%","29%",-106,88,-1.8,1,"2.2%",137,"7.4%","8.1%",1.59,0.25
"Volibear","Jungle",24,"26.7%","48.9%","77.8%","50%","21%",51,55,147,3.6,"65.6%","19.9%","46%",166,164,0.4,4.8,"12.9%",223,"12.1%","15.9%",0.39,0.38
"Gangplank","Top",22,"24.4%","46.7%","71.1%","59%","23%",51,35,128,5.1,"59.3%","15.5%","27%",326,161,3.5,8.5,"27.2%",557,"28.5%","25.8%",0.47,0.1
"Trundle","Jungle",22,"24.4%","31.1%","55.6%","50%","32%",25,47,141,3.5,"71.6%","19.7%","59%",-76,-164,-4.4,4.5,"12.6%",147,"8.3%","14.5%",0.38,0.49
"Senna","ADC",21,"23.3%","24.4%","47.8%","71%","48%",68,37,161,6.2,"81.5%","17.2%","33%",-184,-122,-13.3,6.9,"21.7%",479,"25.2%","22.4%",0.5,0.28
"Bard","Support",19,"21.1%","13.3%","34.4%","47%","42%",18,55,158,3.2,"74.6%","21.1%","16%",-85,68,-2.9,1.2,"3.7%",181,"9.1%","9.4%",2.32,0.53
"Kalista","ADC",19,"21.1%","66.7%","87.8%","53%","42%",72,35,85,4.5,"66.5%","18.5%","26%",134,9,-0.9,9.4,"31.1%",371,"21.4%","26.1%",0.48,0.39
"Corki","Middle",18,"20.0%","16.7%","36.7%","44%","72%",71,30,65,4.5,"72.7%","14.9%","6%",32,53,0.6,10.1,"31.6%",644,"35.8%","29.4%",0.45,0.23
"Syndra","Middle",17,"18.9%","62.2%","85.6%","59%","41%",53,51,79,2.6,"67.0%","23.0%","24%",140,89,6.1,9.3,"27.1%",535,"28.3%","25.2%",0.43,0.17
"Renekton","Top",16,"17.8%","12.2%","30.0%","69%","44%",38,30,76,3.8,"57.9%","19.0%","38%",141,105,1.9,7.8,"25.3%",356,"20.5%","22.8%",0.43,0.14
"Twisted Fate","Middle",16,"17.8%","30.0%","47.8%","63%","31%",44,30,98,4.7,"71.0%","18.3%","31%",126,-27,-3.5,8.8,"26.9%",424,"23.1%","26.5%",0.41,0.24
"Zoe","Middle",16,"17.8%","10.0%","27.8%","38%","69%",51,29,76,4.4,"66.8%","14.5%","38%",73,-22,-0.6,8.6,"25.8%",525,"28.4%","24.3%",0.42,0.2
"Yuumi","Support",15,"16.7%","28.9%","45.6%","40%","33%",9,16,143,9.5,"90.5%","10.5%","33%",-74,94,-4,0.7,"1.7%",219,"11.8%","8.3%",1.32,0.15
"Leona","Support",13,"14.4%","5.6%","20.0%","38%","54%",6,36,69,2.1,"52.1%","24.2%","23%",-2,3,-1.5,1,"2.5%",103,"6.9%","7.7%",1.62,0.37
"Wukong","Top",12,"13.3%","22.2%","40.0%","33%","33%",15,36,35,1.4,"49.5%","24.7%","33%",-110,-150,-3.3,7.7,"25.8%",277,"18.7%","22.1%",0.42,0.12
"Kha'Zix","Jungle",11,"12.2%","16.7%","28.9%","73%","45%",48,24,76,5.2,"68.5%","19.2%","45%",66,23,2.3,5.6,"17.4%",382,"18.2%","18.2%",0.73,0.4
"Olaf","Jungle",11,"12.2%","30.0%","42.2%","55%","82%",21,32,47,2.1,"57.6%","23.2%","27%",296,373,11.9,5.4,"14.0%",223,"12.4%","16.7%",0.39,0.43
"Sion","Top",11,"12.2%","4.4%","16.7%","27%","64%",26,27,62,3.3,"60.3%","19.4%","9%",-14,211,1.2,7.7,"23.4%",377,"22.0%","21.0%",0.47,0.15
"Ashe","ADC",10,"11.1%","0.0%","11.1%","10%","80%",22,29,41,2.2,"77.8%","20.6%","10%",-116,-70,-2.1,9.4,"31.1%",432,"25.6%","26.3%",0.33,0.3
"Braum","Support",10,"11.1%","8.9%","20.0%","70%","80%",4,36,98,2.8,"77.9%","28.8%","20%",-40,-42,1.1,1,"2.2%",131,"6.8%","8.2%",1.47,0.33
"Caitlyn","ADC",10,"11.1%","10.0%","21.1%","80%","10%",45,23,60,4.6,"72.9%","19.8%","30%",120,90,4.1,10,"33.2%",701,"35.5%","29.4%",0.38,0.39
"Camille","Top",10,"11.1%","11.1%","22.2%","60%","40%",25,31,44,2.2,"51.1%","27.2%","10%",-100,5,3.7,8.1,"26.4%",398,"20.7%","23.0%",0.43,0.15
"LeBlanc","Middle",10,"11.1%","18.9%","30.0%","50%","60%",42,25,49,3.6,"66.9%","19.1%","20%",-125,-182,-7.2,8.1,"25.5%",449,"24.7%","23.8%",0.34,0.18
"Gragas","Jungle",9,"10.0%","4.4%","15.6%","44%","78%",12,18,41,2.9,"62.4%","23.1%","22%",-137,-204,-4.4,4.9,"12.9%",225,"15.1%","15.7%",0.88,0.33
"Aatrox","Top",8,"8.9%","12.2%","21.1%","38%","88%",20,17,23,2.5,"54.4%","23.3%","25%",45,104,6.5,8.1,"25.0%",363,"22.7%","23.0%",0.45,0.14
"Cho'Gath","Top",8,"8.9%","1.1%","10.0%","63%","38%",20,30,50,2.3,"62.5%","26.3%","13%",-322,-299,-7,7.3,"21.4%",401,"18.9%","19.3%",0.58,0.12
"Galio","Middle",8,"8.9%","2.2%","11.1%","38%","63%",14,22,36,2.3,"76.9%","21.6%","38%",-357,-431,-14.4,8,"22.7%",298,"20.9%","22.4%",0.37,0.16
"Kai'Sa","ADC",8,"8.9%","2.2%","11.1%","38%","88%",23,17,30,3.1,"67.9%","12.6%","25%",93,-122,4.9,9.4,"33.1%",513,"27.5%","28.2%",0.36,0.25
"Rek'Sai","Jungle",8,"8.9%","3.3%","12.2%","50%","63%",21,14,29,3.6,"58.8%","18.7%","63%",-127,142,3.5,5.7,"15.0%",235,"15.1%","17.6%",0.53,0.42
"Varus","ADC",8,"8.9%","40.0%","48.9%","38%","25%",25,20,25,2.5,"65.8%","18.9%","13%",422,350,27.4,9.2,"30.0%",560,"33.3%","26.0%",0.35,0.45
"Graves","Jungle",7,"7.8%","13.3%","21.1%","14%","43%",16,13,23,3,"73.6%","12.6%","57%",275,451,8.9,7.7,"26.0%",354,"22.0%","23.6%",0.29,0.54
"Jhin","ADC",7,"7.8%","1.1%","8.9%","43%","100%",24,12,34,4.8,"61.7%","12.6%","43%",101,-16,-0.4,9.5,"30.9%",548,"26.0%","26.4%",0.34,0.24
"Mordekaiser","Top",7,"7.8%","8.9%","16.7%","57%","57%",24,18,33,3.2,"58.8%","20.5%","29%",-334,-447,-8.7,7.5,"24.2%",488,"24.4%","22.2%",0.47,0.1
"Kennen","Top",6,"6.7%","0.0%","6.7%","50%","33%",15,16,25,2.5,"54.8%","26.7%","33%",207,-53,7,8.2,"25.3%",405,"24.6%","22.7%",0.45,0.15
"Malphite","Top",6,"6.7%","12.2%","18.9%","50%","100%",11,17,23,2,"54.8%","24.6%","0%",-671,-258,-13.5,6.7,"22.3%",374,"23.8%","19.4%",0.47,0.14
"Rakan","Support",6,"6.7%","1.1%","7.8%","33%","83%",3,21,42,2.1,"66.2%","26.6%","17%",-106,-28,-2.8,1.1,"2.2%",131,"7.3%","7.9%",1.73,0.36
"Sejuani","Jungle",6,"6.7%","3.3%","10.0%","67%","67%",8,14,45,3.8,"67.9%","23.0%","0%",-183,-224,-6,5.3,"14.6%",247,"12.5%","15.6%",0.43,0.43
"Sett","Top",6,"6.7%","15.6%","63.3%","50%","33%",11,21,26,1.8,"51.4%","23.9%","0%",-349,-263,-3.2,6.6,"18.9%",361,"20.4%","18.4%",0.42,0.14
"Jarvan IV","Jungle",5,"5.6%","3.3%","8.9%","40%","40%",2,13,38,3.1,"80.0%","22.4%","0%",-298,-274,-4.6,4.6,"12.6%",113,"7.0%","15.4%",0.91,0.43
"Jax","Top",5,"5.6%","1.1%","6.7%","60%","100%",12,11,16,2.5,"51.9%","21.2%","20%",-7,84,-5,7.4,"24.8%",398,"22.4%","22.4%",0.44,0.09
"Karma","Support",5,"5.6%","11.1%","21.1%","20%","40%",0,11,22,2,"78.6%","14.9%","0%",-221,-269,-1.4,1.2,"3.7%",166,"11.6%","8.4%",1.48,0.49
"Kayle","Top",5,"5.6%","0.0%","5.6%","60%","100%",18,8,18,4.5,"64.3%","16.3%","0%",99,131,7.8,9.7,"29.7%",453,"26.4%","27.7%",0.47,0.22
"Lulu","Support",5,"5.6%","2.2%","7.8%","60%","100%",5,7,35,5.7,"80.0%","17.1%","40%",141,-107,1.4,0.9,"1.8%",63,"3.6%","9.2%",1.6,0.23
"Maokai","Top",5,"5.6%","2.2%","7.8%","60%","100%",6,11,28,3.1,"65.4%","26.2%","20%",-270,-331,-12.4,6.6,"18.0%",424,"24.0%","17.6%",0.42,0.22
"Urgot","Top",5,"5.6%","0.0%","5.6%","20%","40%",17,14,10,1.9,"54.0%","18.2%","20%",178,-68,2,8.1,"24.0%",319,"20.3%","24.3%",0.56,0.23
"Vladimir","Top",5,"5.6%","4.4%","10.0%","40%","60%",14,11,8,2,"53.7%","16.7%","20%",190,127,2.8,8.5,"26.9%",418,"28.1%","24.9%",0.38,0.11
"Blitzcrank","Support",4,"4.4%","8.9%","13.3%","25%","100%",0,15,21,1.4,"55.3%","21.7%","25%",23,-130,-1.8,0.9,"2.4%",139,"7.8%","7.5%",1.56,0.31
"Ekko","Middle",4,"4.4%","3.3%","7.8%","25%","100%",8,8,10,2.3,"64.3%","18.2%","25%",-101,-39,-7.3,8.8,"26.3%",376,"22.4%","25.3%",0.28,0.26
"Kog'Maw","Middle",4,"4.4%","1.1%","6.7%","50%","100%",25,9,21,5.1,"78.0%","16.7%","0%",-105,67,2,9.7,"30.9%",940,"43.6%","30.0%",0.38,0.18
"Syndra","ADC",4,"4.4%","62.2%","85.6%","75%","25%",17,7,25,6,"89.4%","16.7%","50%",377,341,6.8,9.5,"30.2%",572,"30.9%","27.6%",0.41,0.33
"Taric","Support",4,"4.4%","1.1%","5.6%","25%","25%",0,15,22,1.5,"81.5%","29.4%","50%",-50,-304,-3.3,1,"2.3%",101,"7.3%","7.4%",1.26,0.33
"Wukong","Support",4,"4.4%","22.2%","40.0%","75%","25%",10,6,21,5.2,"58.5%","16.2%","25%",1062,1017,68.3,7.4,"22.5%",341,"16.8%","20.8%",0.31,0.25
"Alistar","Support",3,"3.3%","0.0%","3.3%","33%","100%",0,7,18,2.6,"69.2%","20.6%","0%",-121,-57,-0.3,0.8,"1.4%",84,"7.1%","6.6%",1.61,0.14
"Karma","Top",3,"3.3%","11.1%","21.1%","0%","33%",1,15,10,0.7,"52.4%","20.8%","33%",-31,-53,8,6.4,"18.1%",360,"19.8%","18.0%",0.49,0.17
"Kassadin","Middle",3,"3.3%","1.1%","4.4%","33%","100%",6,4,7,3.3,"50.0%","16.0%","0%",-159,33,-4.3,9.9,"31.1%",355,"27.7%","26.5%",0.38,0.27
"Miss Fortune","ADC",3,"3.3%","0.0%","3.3%","0%","100%",5,4,13,4.5,"78.3%","11.1%","33%",147,253,5.7,10.5,"37.7%",458,"28.4%","30.2%",0.41,0.41
"Morgana","Support",3,"3.3%","2.2%","5.6%","100%","33%",2,3,24,8.7,"66.7%","12.5%","33%",27,-72,8,1.3,"3.2%",158,"8.9%","10.3%",1.64,0.29
"Nocturne","Jungle",3,"3.3%","2.2%","5.6%","67%","100%",11,7,16,3.9,"58.7%","19.4%","67%",491,397,7.3,6.2,"17.2%",264,"13.2%","18.6%",0.32,0.37
"Pyke","Support",3,"3.3%","0.0%","3.3%","33%","100%",8,17,14,1.3,"53.7%","30.4%","67%",375,60,-3.7,1.4,"4.4%",146,"7.2%","13.1%",1.26,0.77
"Quinn","Top",3,"3.3%","2.2%","5.6%","33%","100%",5,9,13,2,"47.4%","20.0%","33%",238,297,7,8.3,"25.9%",511,"24.8%","23.6%",0.49,0.1
"Akali","Middle",2,"2.2%","0.0%","4.4%","50%","50%",8,4,7,3.8,"75.0%","16.7%","0%",-59,-293,0,8.8,"24.9%",404,"26.4%","24.8%",0.34,0.38
"Akali","Top",2,"2.2%","0.0%","4.4%","50%","0%",2,6,6,1.3,"47.1%","33.3%","100%",520,373,12,7.6,"18.0%",333,"22.4%","20.1%",0.45,0.11
"Fiddlesticks","Jungle",2,"2.2%","6.7%","8.9%","50%","0%",7,5,17,4.8,"77.4%","20.8%","0%",442,603,10.5,5.4,"13.4%",377,"16.7%","16.8%",0.3,0.08
"Jayce","Middle",2,"2.2%","4.4%","7.8%","100%","50%",12,2,14,13,"63.4%","22.2%","0%",409,179,2,8.7,"26.1%",691,"32.9%","23.7%",0.41,0.42
"Lucian","Middle",2,"2.2%","1.1%","3.3%","50%","100%",1,6,13,2.3,"63.6%","27.3%","0%",348,307,9,9,"25.9%",536,"26.7%","22.2%",0.41,0.16
"Pantheon","Support",2,"2.2%","3.3%","6.7%","100%","100%",6,8,17,2.9,"56.1%","40.0%","50%",168,-339,2,1.3,"4.8%",307,"13.2%","11.4%",2.14,0.48
"Ryze","Middle",2,"2.2%","1.1%","3.3%","50%","100%",11,3,8,6.3,"67.9%","25.0%","100%",697,676,4.5,10.7,"29.6%",498,"29.1%","27.2%",0.32,0.09
"Sett","Support",2,"2.2%","15.6%","63.3%","100%","0%",1,9,18,2.1,"63.3%","39.1%","0%",-6,-115,5,1,"3.4%",255,"11.1%","9.2%",1.45,0.34
"Shen","Top",2,"2.2%","3.3%","5.6%","100%","0%",6,3,27,11,"82.5%","20.0%","50%",11,162,7,7.7,"23.9%",388,"16.1%","21.3%",0.37,0.18
"Sivir","ADC",2,"2.2%","0.0%","2.2%","0%","100%",1,3,5,2,"75.0%","11.1%","0%",98,180,3.5,10.6,"34.3%",409,"27.2%","28.2%",0.41,0.37
"Soraka","ADC",2,"2.2%","1.1%","3.3%","0%","100%",2,1,7,9,"75.0%","3.7%","50%",733,68,33,6.6,"19.1%",207,"14.0%","18.0%",0.32,0.19
"Sylas","Middle",2,"2.2%","0.0%","3.3%","0%","100%",4,10,7,1.1,"68.8%","24.4%","0%",-302,-21,-4,7.3,"24.9%",335,"19.6%","23.9%",0.49,0.14
"Volibear","Top",2,"2.2%","48.9%","77.8%","50%","50%",12,4,8,5,"74.1%","20.0%","50%",496,325,7,6.5,"18.4%",349,"20.4%","23.1%",0.45,0.1
"Xayah","ADC",2,"2.2%","0.0%","2.2%","0%","100%",1,5,7,1.6,"44.4%","13.5%","0%",314,510,37,9.8,"33.9%",344,"18.5%","25.4%",0.46,0.43
"Cassiopeia","Middle",1,"1.1%","2.2%","3.3%","0%","100%",3,4,2,1.3,"71.4%","25.0%","0%",-31,266,13,8.5,"22.3%",386,"26.5%","25.2%",0.47,0.2
"Dr. Mundo","Top",1,"1.1%","0.0%","1.1%","100%","100%",5,3,5,3.3,"40.0%","15.8%","0%",427,595,6,9,"28.2%",629,"19.5%","24.1%",0.59,0.16
"Gnar","Top",1,"1.1%","0.0%","1.1%","100%","0%",0,0,11,11,"78.6%","0.0%","0%",961,732,30,8.9,"23.1%",512,"27.7%","21.6%",0.46,0.14
"Gragas","Top",1,"1.1%","4.4%","15.6%","0%","0%",0,1,3,3,"75.0%","6.7%","100%",-310,66,-18,8.2,"26.6%",432,"23.8%","21.2%",0.41,0.12
"Hecarim","Jungle",1,"1.1%","2.2%","4.4%","100%","100%",5,3,7,4,"70.6%","33.3%","0%",120,214,1,6.2,"19.7%",341,"25.5%","21.8%",0.29,0.33
"Hecarim","Top",1,"1.1%","2.2%","4.4%","100%","100%",3,0,6,9,"45.0%","0.0%","0%",-220,-574,-10,7.8,"23.3%",493,"23.0%","19.7%",0.51,0.17
"Illaoi","Top",1,"1.1%","0.0%","1.1%","0%","100%",1,4,1,0.5,"50.0%","36.4%","0%",47,352,-7,6.9,"22.9%",596,"35.8%","21.6%",0.37,0.12
"Ivern","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",2,0,7,9,"81.8%","0.0%","100%",557,195,5,4.8,"11.0%",226,"11.2%","15.2%",0.43,0.22
"Jayce","Top",1,"1.1%","4.4%","7.8%","0%","100%",2,4,2,1,"100.0%","20.0%","0%",-170,157,12,9.2,"26.9%",609,"27.9%","28.3%",0.51,0.44
"Karma","Middle",1,"1.1%","11.1%","21.1%","0%","0%",0,3,3,1,"37.5%","14.3%","0%",-1234,-1192,-11,8.1,"21.6%",198,"12.6%","18.3%",0.42,0.19
"Karthus","Jungle",1,"1.1%","1.1%","2.2%","0%","0%",2,5,3,1,"62.5%","29.4%","0%",-84,-363,4,7.4,"23.3%",817,"35.3%","23.1%",0.73,0.46
"Kindred","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",0,3,1,0.3,"100.0%","27.3%","0%",-301,124,5,5.2,"15.8%",102,"9.6%","16.8%",0.2,0.4
"Kog'Maw","ADC",1,"1.1%","1.1%","6.7%","0%","100%",3,4,1,1,"66.7%","25.0%","0%",112,163,7,7.4,"24.9%",818,"41.8%","25.9%",0.48,0.31
"Lux","Support",1,"1.1%","1.1%","2.2%","100%","0%",2,2,8,5,"58.8%","22.2%","0%",260,308,23,3.7,"11.2%",182,"13.6%","13.8%",0.98,0.29
"Nautilus","Middle",1,"1.1%","12.2%","47.8%","0%","100%",1,6,6,1.2,"77.8%","24.0%","0%",-415,-165,-22,7.3,"27.3%",383,"21.2%","22.4%",0.59,0.24
