"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",7,2,5,31.1,51,83,0.61,0.61,0.24,"-1.9%",56.5,-27.9,821,"43%","71%","71%","57%","29%","34%",,"14%","22%","50.9%","50.7%",3.23,1.3,1.61
"FC Schalke 04 Esports",7,0,7,34.2,33,96,0.34,0.54,-1.54,"-10.7%",33.9,-33.9,-1587,"43%","29%","0%","23%","43%","31%",,"0%","0%","49.4%","44.4%",3.26,1.26,1.48
"Fnatic",7,3,4,31.3,67,95,0.71,0.74,-0.62,"-4.0%",44.4,-1.5,-628,"71%","43%","14%","36%","14%","52%","50%","43%","44%","50.9%","49.9%",3,1.16,1.28
"G2 Esports",7,4,3,29.4,87,72,1.21,0.77,0.33,"2.4%",56.9,0.3,559,"43%","29%","43%","43%","57%","55%",,"0%","0%","50.8%","55.1%",3.51,1.37,1.44
"MAD Lions",7,6,1,30.8,104,55,1.89,0.74,0.39,"4.5%",60.3,25.4,732,"57%","71%","57%","50%","29%","70%","100%","57%","71%","50.1%","51.9%",3.3,1.3,1.28
"Misfits Gaming",7,4,3,31.6,72,73,0.99,0.65,-0.35,"-2.0%",48.4,8.7,-462,"29%","57%","57%","57%","57%","42%","0%","57%","64%","49.8%","51.4%",3.16,1.27,1.22
"Origen",7,4,3,33,83,56,1.48,0.6,0.27,"2.2%",46.1,11,-81,"57%","29%","43%","36%","57%","50%",,"43%","44%","50.3%","47.3%",3.47,1.33,1.32
"Rogue",7,5,2,32,94,54,1.74,0.66,1.14,"4.9%",54.9,16.5,730,"57%","71%","86%","62%","57%","64%",,"71%","88%","49.2%","51.4%",3.06,1.2,1.37
"SK Gaming",7,4,3,32.3,73,69,1.06,0.63,0.58,"5.1%",55.8,1.3,547,"57%","43%","71%","79%","86%","59%",,"71%","64%","49.9%","50.3%",3.48,1.29,1.27
"Team Vitality",7,3,4,33,69,81,0.85,0.65,-0.32,"-0.4%",42.8,0,-632,"43%","57%","57%","57%","71%","47%",,"71%","73%","48.8%","47.7%",3.73,1.58,1.32
