"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",18,8,10,32.9,164,209,0.78,0.63,-0.06,"-1.8%",51.4,-7,93,"44%","61%","56%","53%","50%","48%","100%","28%","35%","50.6%","48.9%",3.25,1.3,1.44
"FC Schalke 04 Esports",18,8,10,34.4,204,209,0.98,0.66,-0.04,"-1.1%",48.2,-3.8,-68,"50%","33%","44%","43%","33%","43%","50%","39%","35%","50.2%","49.2%",3.24,1.23,1.54
"Fnatic",18,9,9,32.9,222,262,0.85,0.82,-0.11,"-0.1%",52.1,-2.1,29,"56%","39%","33%","40%","33%","46%","80%","33%","46%","50.6%","51.7%",3.1,1.25,1.39
"G2 Esports",18,11,7,31.7,254,234,1.09,0.85,0.43,"2.2%",56,5.1,614,"50%","50%","50%","58%","61%","53%","0%","39%","45%","50.5%","54.4%",3.45,1.39,1.42
"MAD Lions",18,12,6,31.4,255,200,1.28,0.8,0.15,"2.7%",54.2,12.4,152,"56%","72%","50%","54%","39%","58%","100%","56%","72%","49.5%","49.0%",3.53,1.36,1.28
"Misfits Gaming",18,7,11,34.2,185,241,0.77,0.69,-0.68,"-4.5%",44.5,-5.6,-569,"33%","39%","44%","47%","67%","42%","33%","50%","52%","50.1%","49.2%",3.14,1.24,1.26
"Origen",18,6,12,35,171,198,0.86,0.59,-0.18,"-1.5%",44.7,-11.4,-145,"50%","39%","33%","44%","39%","41%","0%","28%","30%","50.2%","46.7%",3.74,1.3,1.39
"Rogue",18,13,5,34.5,242,129,1.88,0.6,1.18,"5.9%",63.1,9.1,1298,"61%","72%","89%","59%","50%","58%","50%","61%","71%","49.5%","52.8%",3.15,1.2,1.48
"SK Gaming",18,9,9,33.5,217,215,1.01,0.72,-0.23,"0.5%",44.4,5.6,-566,"50%","44%","44%","60%","67%","62%","50%","61%","50%","49.5%","49.2%",3.48,1.23,1.3
"Team Vitality",18,7,11,35.3,193,215,0.9,0.64,-0.4,"-2.4%",41.4,-2.5,-837,"50%","50%","56%","42%","61%","49%","0%","56%","63%","49.3%","48.8%",3.81,1.59,1.44
