"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",9,4,5,32.5,85,100,0.85,0.63,0.6,"1.3%",58.5,-14,965,"44%","78%","78%","61%","22%","40%",,"33%","38%","50.8%","51.5%",3.2,1.32,1.53
"FC Schalke 04 Esports",9,1,8,34,52,118,0.44,0.56,-0.97,"-8.7%",39.3,-28.2,-1085,"56%","33%","22%","41%","44%","35%",,"11%","10%","49.5%","45.2%",3.28,1.28,1.43
"Fnatic",9,4,5,32,86,121,0.71,0.72,-0.31,"-3.2%",50.6,-6.2,-116,"67%","56%","22%","39%","22%","48%","67%","44%","50%","50.5%","51.4%",3.06,1.2,1.29
"G2 Esports",9,5,4,29.7,121,102,1.19,0.83,0.3,"1.5%",57.7,-2.1,543,"56%","33%","44%","44%","67%","54%",,"11%","13%","50.3%","53.4%",3.36,1.32,1.34
"MAD Lions",9,7,2,30.7,130,81,1.6,0.76,-0.09,"3.1%",50.1,27.7,-39,"44%","67%","44%","44%","22%","62%","100%","56%","67%","50.1%","50.4%",3.23,1.27,1.24
"Misfits Gaming",9,5,4,30.5,102,100,1.02,0.74,-0.11,"-1.0%",50.8,4.8,-80,"33%","44%","56%","50%","56%","48%","0%","56%","62%","50.1%","52.0%",3.02,1.26,1.22
"Origen",9,4,5,34.3,95,77,1.23,0.56,-0.14,"0.0%",44.3,0.1,-355,"56%","22%","33%","39%","67%","50%",,"33%","31%","50.5%","46.6%",3.64,1.38,1.38
"Rogue",9,7,2,33.4,123,69,1.78,0.64,1.5,"6.7%",61.5,16.3,1308,"56%","78%","89%","71%","56%","61%",,"78%","92%","49.2%","53.6%",3.15,1.23,1.49
"SK Gaming",9,4,5,32.5,90,107,0.84,0.67,-0.29,"0.2%",45.7,-1.3,-485,"44%","33%","56%","61%","78%","62%","0%","56%","50%","49.9%","48.0%",3.35,1.21,1.26
"Team Vitality",9,4,5,33.6,86,97,0.89,0.6,-0.46,"0.1%",41.5,3,-656,"44%","56%","56%","50%","67%","44%",,"67%","71%","49.1%","48.0%",3.89,1.6,1.36
