"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",9,4,5,33.3,79,109,0.72,0.63,-0.71,"-5.0%",44.4,0.1,-780,"44%","44%","33%","44%","78%","57%","100%","22%","30%","50.5%","46.3%",3.29,1.29,1.35
"FC Schalke 04 Esports",9,7,2,34.9,152,91,1.67,0.77,0.85,"6.6%",57.1,20.7,949,"44%","33%","67%","44%","22%","51%","50%","67%","60%","50.9%","53.2%",3.2,1.19,1.65
"Fnatic",9,5,4,33.8,136,141,0.96,0.91,0.08,"3.1%",53.5,2.1,174,"44%","22%","44%","41%","44%","44%","100%","22%","42%","50.7%","52.0%",3.14,1.3,1.49
"G2 Esports",9,6,3,33.7,133,132,1.01,0.87,0.54,"2.9%",54.3,12.3,684,"44%","67%","56%","72%","56%","51%","0%","67%","67%","50.7%","55.4%",3.53,1.45,1.49
"MAD Lions",9,5,4,32.2,125,119,1.05,0.84,0.38,"2.4%",58.4,-2.8,342,"67%","78%","56%","65%","56%","56%","100%","56%","78%","48.9%","47.7%",3.83,1.46,1.31
"Misfits Gaming",9,2,7,37.8,83,141,0.59,0.66,-1.14,"-8.0%",38.1,-15.9,-1057,"33%","33%","33%","44%","78%","38%","50%","44%","44%","50.0%","46.5%",3.26,1.23,1.3
"Origen",9,2,7,35.6,76,121,0.63,0.61,-0.23,"-3.0%",45.1,-22.9,64,"44%","56%","33%","50%","11%","32%","0%","22%","30%","49.9%","46.8%",3.85,1.22,1.4
"Rogue",9,6,3,35.6,119,60,1.98,0.56,0.88,"5.0%",64.7,1.9,1288,"67%","67%","89%","47%","44%","55%","50%","44%","44%","49.8%","52.0%",3.14,1.17,1.46
"SK Gaming",9,5,4,34.4,127,108,1.18,0.76,-0.18,"0.8%",43,12.5,-647,"56%","56%","33%","59%","56%","63%","67%","67%","50%","49.0%","50.5%",3.61,1.25,1.34
"Team Vitality",9,3,6,37.1,107,118,0.91,0.67,-0.34,"-4.8%",41.3,-8,-1018,"56%","44%","56%","33%","56%","53%","0%","44%","56%","49.5%","49.7%",3.72,1.58,1.52
